ID,생활건강-연령대,생활건강-성별,생활건강-일일 평균 걸음수(걸음),생활건강-일일 평균 수면량(시간),생활건강-걸음수 측정 기간,생활건강-수면량 측정 기간,
87,70대,여성,10435,8.2,3개월,1개월,
89,70대,남성,7454,6.1,8개월,7개월,
89,70대,남성,9733,6.5,1개월,8개월,
89,70대,남성,7769,7.7,4개월,8개월,
90,30대,남성,8523,7.8,3개월,1개월,
90,30대,남성,8700,6.4,6개월,15개월,
90,30대,남성,6478,7.1,16개월,4개월,
90,30대,남성,6717,5.9,13개월,5개월,
91,30대,여성,5767,7.2,9개월,1개월,
92,10대,여성,5040,6.5,2개월,9개월,
93,50대,남성,9064,7.9,11개월,15개월,
93,50대,남성,8338,6.8,7개월,5개월,
94,20대,여성,5422,5.9,21개월,6개월,
95,20대,남성,6610,6.5,1개월,6개월,
95,20대,남성,6548,7.7,5개월,3개월,
96,30대,남성,6528,7.0,17개월,8개월,
96,30대,남성,7701,7.9,8개월,4개월,
97,80대 이상,남성,7612,5.3,19개월,5개월,
97,80대 이상,남성,10416,8.8,2개월,19개월,
97,80대 이상,남성,8186,6.9,8개월,12개월,
101,50대,여성,6213,7.4,9개월,19개월,
103,50대,여성,7741,7.4,3개월,5개월,
104,70대,여성,8176,8.7,7개월,4개월,
107,10대,남성,6972,7.3,11개월,2개월,
107,10대,남성,6693,8.5,7개월,17개월,
109,40대,여성,5471,7.0,1개월,3개월,
109,40대,여성,6411,8.4,7개월,2개월,
109,40대,여성,6588,7.6,7개월,6개월,
110,70대,남성,9037,6.8,4개월,2개월,
110,70대,남성,7355,6.9,3개월,3개월,
111,30대,여성,6320,8.0,16개월,6개월,
111,30대,여성,6063,6.8,13개월,5개월,
111,30대,여성,5563,7.3,4개월,10개월,
112,60대,여성,7572,8.0,8개월,2개월,
112,60대,여성,6440,6.3,1개월,9개월,
112,60대,여성,6983,6.8,1개월,2개월,
113,10대,남성,7845,8.1,20개월,4개월,
114,50대,여성,6322,7.2,1개월,1개월,
117,30대,여성,5264,9.5,5개월,10개월,
120,20대,여성,7312,6.1,5개월,21개월,
123,50대,여성,5686,6.6,10개월,3개월,
124,10대,여성,6598,6.0,14개월,15개월,
128,70대,남성,9896,6.5,10개월,7개월,
131,60대,여성,7802,5.5,8개월,5개월,
132,10대,여성,6552,6.4,4개월,18개월,
133,40대,남성,6859,6.6,8개월,8개월,
133,40대,남성,7035,7.2,4개월,5개월,
134,60대,여성,6623,8.7,14개월,4개월,
135,40대,여성,5510,8.4,2개월,19개월,
135,40대,여성,6585,5.1,18개월,5개월,
136,40대,여성,6962,8.3,8개월,6개월,
138,70대,남성,9957,7.4,8개월,22개월,
138,70대,남성,6928,7.0,3개월,7개월,
139,30대,남성,7041,5.3,6개월,2개월,
140,10대,남성,7520,7.6,7개월,24개월,
140,10대,남성,6793,8.6,10개월,4개월,
140,10대,남성,7387,6.5,3개월,2개월,
141,30대,남성,5635,6.6,14개월,2개월,
141,30대,남성,8837,7.5,1개월,3개월,
142,20대,여성,5005,7.7,14개월,7개월,
142,20대,여성,5568,6.9,11개월,14개월,
144,30대,남성,9650,7.5,20개월,7개월,
145,60대,남성,10069,7.7,9개월,7개월,
146,50대,여성,5459,7.8,11개월,7개월,
147,80대 이상,남성,7436,5.8,17개월,16개월,
150,50대,여성,8342,8.2,4개월,24개월,
154,10대,남성,7136,6.6,22개월,2개월,
155,70대,여성,8922,6.3,8개월,2개월,
158,20대,남성,5992,7.8,2개월,14개월,
159,10대,남성,6349,6.1,7개월,6개월,
162,70대,남성,9238,6.7,9개월,2개월,
164,30대,여성,5399,8.7,1개월,14개월,
164,30대,여성,6285,7.1,4개월,1개월,
165,50대,여성,8172,7.2,12개월,1개월,
166,40대,여성,5797,5.7,12개월,14개월,
166,40대,여성,7259,7.5,18개월,15개월,
166,40대,여성,4058,7.1,12개월,8개월,
169,50대,여성,8980,7.0,8개월,1개월,
169,50대,여성,6021,6.8,6개월,1개월,
170,60대,여성,6088,7.7,14개월,10개월,
172,50대,남성,8269,7.6,27개월,6개월,
173,50대,여성,5287,7.5,10개월,1개월,
175,30대,여성,7222,6.8,8개월,10개월,
177,10대,남성,7311,7.2,14개월,4개월,
178,70대,여성,7692,6.7,12개월,2개월,
178,70대,여성,7655,7.5,10개월,21개월,
178,70대,여성,8165,8.6,1개월,5개월,
180,60대,남성,7529,6.3,8개월,6개월,
180,60대,남성,7789,9.3,1개월,17개월,
181,20대,남성,5840,7.5,3개월,7개월,
182,20대,남성,5609,6.9,9개월,20개월,
183,80대 이상,여성,6470,6.2,3개월,10개월,
184,50대,여성,5227,8.1,2개월,12개월,
185,60대,남성,8209,7.9,4개월,6개월,
186,30대,여성,5107,7.3,6개월,9개월,
189,40대,여성,5929,6.3,13개월,1개월,
190,50대,여성,7531,6.2,6개월,6개월,
191,70대,남성,7726,6.5,3개월,5개월,
191,70대,남성,7843,5.9,4개월,11개월,
193,40대,남성,7471,7.4,13개월,4개월,
194,40대,남성,8466,8.4,15개월,2개월,
195,40대,남성,8081,8.7,5개월,5개월,
195,40대,남성,8535,7.1,4개월,10개월,
195,40대,남성,6576,8.0,10개월,4개월,
195,40대,남성,6656,6.5,13개월,7개월,
196,60대,여성,7666,8.6,8개월,15개월,
197,40대,남성,7438,6.4,10개월,17개월,
197,40대,남성,8342,7.7,8개월,4개월,
198,30대,여성,6324,7.2,13개월,1개월,
198,30대,여성,5950,9.6,6개월,9개월,
198,30대,여성,6782,6.1,9개월,9개월,
199,70대,여성,8088,6.8,14개월,6개월,
202,20대,여성,5433,6.6,12개월,5개월,
203,50대,남성,8356,6.8,15개월,15개월,
203,50대,남성,6482,9.0,2개월,6개월,
204,40대,남성,8487,7.8,2개월,5개월,
205,10대,여성,4619,8.0,3개월,11개월,
205,10대,여성,5858,6.1,13개월,4개월,
206,60대,여성,8104,7.6,15개월,3개월,
206,60대,여성,8242,7.3,5개월,21개월,
206,60대,여성,8107,6.5,11개월,14개월,
209,50대,남성,6535,6.9,2개월,3개월,
211,70대,여성,8062,6.6,2개월,3개월,
212,30대,여성,5732,5.8,8개월,8개월,
213,30대,남성,8337,7.5,1개월,5개월,
214,60대,남성,7144,8.0,2개월,22개월,
214,60대,남성,8214,7.4,14개월,2개월,
215,70대,여성,7009,9.0,2개월,7개월,
215,70대,여성,5310,6.1,15개월,1개월,
220,40대,여성,6669,8.0,5개월,7개월,
221,60대,남성,9006,8.4,10개월,8개월,
222,50대,여성,7930,7.0,7개월,16개월,
222,50대,여성,6927,9.0,9개월,1개월,
223,50대,여성,7725,7.7,1개월,2개월,
223,50대,여성,8924,7.0,1개월,1개월,
223,50대,여성,4896,5.7,2개월,7개월,
223,50대,여성,6614,5.8,5개월,21개월,
224,50대,여성,6330,6.7,15개월,12개월,
224,50대,여성,6271,6.0,19개월,11개월,
227,40대,남성,8962,8.3,2개월,11개월,
228,40대,남성,6768,7.7,5개월,11개월,
229,30대,여성,7008,7.2,3개월,12개월,
231,60대,남성,9808,8.6,8개월,2개월,
232,10대,여성,5136,7.1,6개월,4개월,
232,10대,여성,7833,8.0,6개월,4개월,
235,20대,여성,3891,7.2,8개월,1개월,
235,20대,여성,5429,7.5,20개월,1개월,
236,60대,여성,6123,7.4,5개월,4개월,
237,50대,여성,7414,7.5,9개월,10개월,
237,50대,여성,6390,6.4,12개월,13개월,
237,50대,여성,5977,7.0,9개월,14개월,
238,60대,남성,7484,6.5,7개월,8개월,
240,30대,여성,4388,8.0,4개월,6개월,
241,80대 이상,남성,10097,7.7,16개월,4개월,
241,80대 이상,남성,7512,8.1,14개월,18개월,
242,50대,남성,8881,6.7,12개월,8개월,
243,70대,여성,7310,8.1,9개월,15개월,
243,70대,여성,7194,6.5,10개월,3개월,
244,50대,여성,5421,7.6,16개월,16개월,
245,40대,여성,5972,8.4,9개월,9개월,
245,40대,여성,5686,7.0,8개월,3개월,
245,40대,여성,7110,4.9,2개월,5개월,
246,60대,남성,9241,7.5,11개월,14개월,
246,60대,남성,8942,9.3,4개월,9개월,
246,60대,남성,8484,7.5,7개월,16개월,
247,30대,남성,6701,6.4,9개월,4개월,
247,30대,남성,7694,7.8,4개월,2개월,
247,30대,남성,6632,7.1,10개월,6개월,
248,40대,남성,8512,7.3,15개월,11개월,
248,40대,남성,7871,6.1,5개월,23개월,
250,60대,여성,7339,5.8,20개월,1개월,
251,10대,남성,8702,8.0,4개월,17개월,
251,10대,남성,7259,7.8,14개월,1개월,
254,80대 이상,여성,7638,6.6,16개월,11개월,
254,80대 이상,여성,8657,6.0,18개월,6개월,
256,40대,남성,8642,5.6,9개월,27개월,
256,40대,남성,7076,8.0,16개월,13개월,
259,70대,남성,8585,7.6,6개월,3개월,
261,70대,남성,7919,6.1,2개월,19개월,
262,50대,여성,7872,8.4,1개월,16개월,
264,40대,여성,6363,7.5,4개월,8개월,
266,60대,남성,9827,7.9,14개월,3개월,
267,30대,남성,5888,8.4,16개월,1개월,
268,40대,여성,4899,6.3,18개월,14개월,
268,40대,여성,6650,9.0,7개월,6개월,
270,20대,여성,4620,6.1,10개월,10개월,
270,20대,여성,5028,7.6,13개월,19개월,
271,30대,여성,4494,6.2,24개월,9개월,
272,50대,여성,5971,8.2,2개월,5개월,
272,50대,여성,7137,8.8,4개월,9개월,
272,50대,여성,5528,7.5,4개월,18개월,
273,10대,여성,6831,7.1,5개월,12개월,
273,10대,여성,5097,6.5,1개월,3개월,
273,10대,여성,4487,7.6,16개월,3개월,
274,20대,여성,3658,9.8,4개월,10개월,
275,70대,여성,8361,6.8,8개월,6개월,
275,70대,여성,7041,5.9,15개월,6개월,
277,60대,남성,10258,6.3,2개월,3개월,
277,60대,남성,9500,9.2,9개월,2개월,
279,10대,남성,8258,6.0,13개월,20개월,
282,40대,남성,7370,6.6,21개월,6개월,
282,40대,남성,7094,8.3,1개월,3개월,
283,50대,여성,7985,7.3,12개월,10개월,
283,50대,여성,7458,5.5,2개월,5개월,
284,50대,남성,6782,6.8,7개월,2개월,
286,70대,여성,7396,8.3,10개월,18개월,
287,60대,남성,9309,6.5,16개월,2개월,
287,60대,남성,8676,7.5,4개월,4개월,
287,60대,남성,8227,7.0,24개월,8개월,
288,10대,여성,6239,6.7,1개월,3개월,
288,10대,여성,4957,7.0,7개월,4개월,
288,10대,여성,6034,7.3,6개월,4개월,
292,70대,남성,8477,9.2,5개월,4개월,
292,70대,남성,7336,7.5,14개월,7개월,
293,30대,여성,4511,8.6,8개월,14개월,
293,30대,여성,6068,5.6,8개월,20개월,
295,30대,여성,7109,8.1,9개월,3개월,
296,20대,남성,5293,6.4,9개월,9개월,
297,70대,남성,8947,8.0,3개월,11개월,
297,70대,남성,8591,6.1,4개월,11개월,
298,40대,남성,7421,8.0,9개월,1개월,
298,40대,남성,8173,10.3,5개월,4개월,
300,50대,여성,6622,7.1,3개월,10개월,
301,50대,남성,5396,8.0,13개월,14개월,
301,50대,남성,9339,8.2,10개월,19개월,
303,40대,여성,6554,6.5,2개월,4개월,
303,40대,여성,3304,7.9,5개월,11개월,
304,50대,남성,8240,8.4,21개월,4개월,
305,70대,남성,9184,6.4,18개월,19개월,
305,70대,남성,8595,8.3,17개월,8개월,
306,10대,여성,6517,7.4,9개월,2개월,
307,70대,여성,6731,8.0,2개월,14개월,
309,70대,여성,7469,6.8,7개월,2개월,
311,80대 이상,여성,8572,6.4,4개월,7개월,
311,80대 이상,여성,7765,6.3,6개월,1개월,
312,70대,남성,8586,7.7,1개월,8개월,
312,70대,남성,8072,5.2,8개월,11개월,
314,10대,남성,7955,6.5,10개월,4개월,
315,50대,남성,7360,7.7,11개월,7개월,
315,50대,남성,8894,7.4,5개월,2개월,
317,40대,남성,8531,6.3,14개월,16개월,
318,10대,여성,8732,7.1,1개월,5개월,
318,10대,여성,5768,8.7,7개월,20개월,
319,20대,여성,5115,8.5,11개월,3개월,
320,70대,여성,7370,8.3,4개월,6개월,
321,50대,남성,9137,8.8,5개월,9개월,
322,70대,남성,8662,6.1,11개월,7개월,
322,70대,남성,9703,6.3,11개월,18개월,
322,70대,남성,8495,6.9,5개월,6개월,
324,20대,여성,6027,5.6,13개월,2개월,
325,30대,여성,6543,7.2,15개월,4개월,
325,30대,여성,5586,7.2,5개월,16개월,
326,20대,여성,6776,8.6,7개월,13개월,
327,50대,남성,9251,7.6,17개월,3개월,
328,70대,남성,7680,10.0,7개월,5개월,
329,30대,여성,5528,7.1,17개월,14개월,
330,80대 이상,여성,9399,6.4,5개월,17개월,
330,80대 이상,여성,9077,6.8,6개월,10개월,
331,70대,남성,9813,6.4,2개월,9개월,
331,70대,남성,7227,6.3,2개월,15개월,
332,60대,남성,8993,6.8,7개월,5개월,
332,60대,남성,10133,5.6,11개월,19개월,
334,30대,여성,4409,9.0,15개월,1개월,
335,10대,여성,3429,8.2,19개월,6개월,
336,20대,여성,5628,6.4,7개월,4개월,
336,20대,여성,4726,6.2,4개월,5개월,
337,60대,여성,5360,7.8,10개월,7개월,
338,60대,남성,8373,5.7,1개월,7개월,
340,40대,여성,6166,5.0,7개월,29개월,
341,10대,여성,4775,5.4,14개월,3개월,
342,40대,여성,5945,5.5,4개월,2개월,
342,40대,여성,5073,6.7,3개월,15개월,
344,40대,남성,7046,8.4,13개월,11개월,
344,40대,남성,7398,5.9,8개월,8개월,
346,40대,여성,6097,6.8,1개월,6개월,
347,60대,여성,8580,7.8,5개월,8개월,
348,40대,여성,5043,8.6,16개월,5개월,
348,40대,여성,7696,7.1,3개월,6개월,
350,20대,여성,4717,7.1,18개월,17개월,
350,20대,여성,8224,6.9,13개월,5개월,
350,20대,여성,5437,7.4,3개월,11개월,
353,60대,남성,8784,6.5,4개월,2개월,
353,60대,남성,8850,8.7,8개월,9개월,
356,50대,남성,7604,7.4,1개월,5개월,
358,60대,여성,8223,7.6,8개월,9개월,
358,60대,여성,7771,8.6,4개월,10개월,
359,20대,남성,7611,6.1,1개월,1개월,
359,20대,남성,7068,6.4,4개월,2개월,
359,20대,남성,7363,6.6,6개월,7개월,
360,70대,여성,7224,7.6,1개월,9개월,
361,60대,남성,9104,8.9,7개월,11개월,
362,30대,여성,5011,9.1,5개월,6개월,
362,30대,여성,4690,7.0,2개월,9개월,
363,60대,여성,7841,6.1,10개월,5개월,
363,60대,여성,7204,8.2,2개월,8개월,
363,60대,여성,9333,8.8,6개월,7개월,
366,60대,남성,8158,6.3,3개월,6개월,
367,40대,여성,6163,8.2,12개월,9개월,
368,20대,남성,8798,6.2,11개월,20개월,
368,20대,남성,7889,9.1,14개월,1개월,
369,60대,여성,5942,6.9,12개월,1개월,
369,60대,여성,8530,9.3,5개월,1개월,
371,30대,여성,6679,8.5,3개월,3개월,
375,50대,남성,7727,8.3,2개월,14개월,
377,30대,여성,8274,7.1,3개월,2개월,
377,30대,여성,6733,6.7,26개월,9개월,
378,10대,여성,6017,5.6,16개월,12개월,
379,50대,남성,8033,9.6,16개월,28개월,
379,50대,남성,8235,7.7,13개월,4개월,
380,60대,남성,9631,7.4,1개월,6개월,
381,20대,남성,7136,6.3,16개월,8개월,
382,70대,여성,8468,8.0,7개월,10개월,
382,70대,여성,9016,6.4,6개월,3개월,
384,50대,남성,9190,7.1,6개월,6개월,
384,50대,남성,9071,7.3,2개월,8개월,
385,50대,여성,6302,6.8,15개월,5개월,
385,50대,여성,5242,8.2,24개월,5개월,
385,50대,여성,5636,6.2,14개월,13개월,
386,60대,남성,8560,6.6,12개월,9개월,
386,60대,남성,9576,9.4,10개월,1개월,
390,30대,여성,5722,7.1,4개월,10개월,
392,70대,남성,8456,7.5,14개월,3개월,
394,20대,여성,4329,8.7,12개월,14개월,
395,40대,남성,6318,8.0,11개월,14개월,
395,40대,남성,6579,7.5,2개월,1개월,
397,20대,남성,7393,8.1,18개월,2개월,
397,20대,남성,8029,8.7,5개월,1개월,
398,30대,남성,8172,7.3,11개월,8개월,
398,30대,남성,9365,7.3,6개월,6개월,
399,20대,여성,3482,7.2,6개월,16개월,
402,60대,여성,6150,6.1,1개월,5개월,
403,60대,여성,7046,6.7,7개월,11개월,
404,40대,남성,8409,7.2,9개월,4개월,
404,40대,남성,7465,8.6,14개월,2개월,
406,10대,남성,7118,9.6,12개월,2개월,
409,20대,남성,5723,7.7,4개월,4개월,
410,60대,남성,8102,6.4,11개월,13개월,
411,50대,남성,7040,7.8,12개월,18개월,
413,40대,남성,7428,7.2,10개월,7개월,
414,70대,여성,9012,7.8,19개월,16개월,
415,20대,여성,5112,7.1,6개월,21개월,
417,20대,남성,7747,5.1,5개월,4개월,
417,20대,남성,6643,7.0,2개월,5개월,
417,20대,남성,7503,7.4,7개월,2개월,
420,30대,남성,8775,7.6,22개월,2개월,
421,50대,남성,6859,6.7,10개월,3개월,
421,50대,남성,7573,8.6,7개월,5개월,
422,60대,남성,9336,5.6,11개월,3개월,
423,20대,남성,8012,7.3,8개월,5개월,
424,60대,남성,7277,7.4,8개월,10개월,
424,60대,남성,7561,6.8,7개월,6개월,
425,20대,여성,6550,6.8,2개월,5개월,
427,60대,남성,8389,6.5,5개월,2개월,
428,10대,남성,6950,6.9,21개월,16개월,
428,10대,남성,7503,8.9,5개월,7개월,
430,30대,여성,4673,8.0,6개월,3개월,
432,30대,남성,8345,8.5,8개월,9개월,
432,30대,남성,7061,7.7,9개월,4개월,
433,60대,여성,5792,6.9,5개월,6개월,
434,30대,여성,6362,8.2,7개월,9개월,
434,30대,여성,5025,7.1,2개월,12개월,
434,30대,여성,5562,7.2,2개월,10개월,
435,40대,남성,6406,7.8,12개월,5개월,
440,70대,여성,7387,6.5,12개월,19개월,
440,70대,여성,6820,6.1,8개월,1개월,
441,40대,여성,6193,7.7,15개월,1개월,
441,40대,여성,6623,5.8,16개월,24개월,
441,40대,여성,6112,7.1,4개월,6개월,
443,70대,남성,8151,6.6,17개월,6개월,
444,20대,남성,7129,6.6,18개월,5개월,
445,40대,여성,6964,7.4,11개월,7개월,
447,60대,여성,8126,7.5,13개월,8개월,
448,30대,여성,6674,6.7,15개월,8개월,
449,60대,여성,7546,6.8,8개월,1개월,
450,80대 이상,여성,9819,9.2,12개월,14개월,
450,80대 이상,여성,9201,7.4,4개월,4개월,
451,70대,남성,8027,6.3,18개월,4개월,
451,70대,남성,9306,6.9,1개월,15개월,
452,20대,남성,7846,5.9,11개월,18개월,
453,40대,여성,7436,6.6,7개월,4개월,
455,70대,여성,9263,7.5,1개월,13개월,
455,70대,여성,7318,7.3,5개월,14개월,
456,70대,남성,8232,6.0,1개월,1개월,
456,70대,남성,12189,7.7,6개월,10개월,
457,60대,여성,7739,6.5,1개월,16개월,
457,60대,여성,8404,7.5,21개월,2개월,
460,10대,여성,5057,8.2,8개월,14개월,
461,40대,여성,5877,7.0,3개월,10개월,
462,20대,여성,5784,8.0,11개월,8개월,
462,20대,여성,4038,7.8,3개월,17개월,
463,80대 이상,여성,9618,7.0,19개월,2개월,
466,70대,남성,10136,7.2,6개월,5개월,
466,70대,남성,8582,8.2,2개월,18개월,
470,70대,남성,8539,6.4,1개월,5개월,
470,70대,남성,9869,7.5,10개월,1개월,
475,20대,여성,3305,9.4,20개월,10개월,
477,10대,남성,7307,7.7,18개월,4개월,
477,10대,남성,7354,6.7,18개월,12개월,
480,70대,여성,8649,5.6,8개월,4개월,
481,60대,남성,9114,9.2,15개월,6개월,
482,80대 이상,남성,8450,8.0,15개월,17개월,
484,50대,남성,10950,6.8,6개월,4개월,
484,50대,남성,9908,9.1,13개월,13개월,
486,20대,남성,8740,7.2,4개월,9개월,
486,20대,남성,6776,6.6,1개월,6개월,
488,10대,남성,7433,9.6,14개월,6개월,
488,10대,남성,8732,8.3,6개월,8개월,
489,20대,여성,6821,6.4,7개월,1개월,
489,20대,여성,5816,6.3,8개월,5개월,
489,20대,여성,5529,7.3,18개월,5개월,
490,80대 이상,남성,8846,7.6,11개월,15개월,
491,10대,여성,4726,6.9,6개월,4개월,
492,40대,남성,7818,6.4,23개월,9개월,
494,60대,남성,9931,5.4,6개월,12개월,
495,30대,여성,4948,6.6,9개월,3개월,
499,40대,남성,6790,8.4,2개월,9개월,
499,40대,남성,8329,6.9,16개월,15개월,
499,40대,남성,7052,8.3,4개월,9개월,
500,50대,여성,5661,8.2,6개월,8개월,
502,60대,여성,7209,6.8,1개월,5개월,
502,60대,여성,6345,7.8,4개월,7개월,
506,50대,남성,7577,6.6,7개월,7개월,
507,60대,남성,9557,7.6,12개월,4개월,
507,60대,남성,9122,8.9,10개월,10개월,
508,50대,남성,7477,5.9,18개월,1개월,
509,70대,남성,9549,6.7,2개월,25개월,
511,70대,여성,7449,7.4,5개월,4개월,
511,70대,여성,7408,8.4,10개월,8개월,
512,60대,여성,8386,7.6,2개월,3개월,
512,60대,여성,7388,8.8,4개월,12개월,
513,80대 이상,남성,9613,7.3,6개월,1개월,
514,70대,여성,7344,7.7,4개월,5개월,
514,70대,여성,6977,6.4,6개월,2개월,
514,70대,여성,8097,6.0,17개월,7개월,
515,30대,여성,4348,7.9,17개월,12개월,
515,30대,여성,5346,7.5,2개월,8개월,
516,40대,남성,6593,6.6,18개월,12개월,
516,40대,남성,8353,6.4,9개월,3개월,
516,40대,남성,7780,7.9,7개월,10개월,
517,70대,남성,9237,5.4,8개월,25개월,
518,50대,여성,6072,6.7,2개월,13개월,
519,70대,남성,7692,7.7,4개월,3개월,
520,40대,남성,6631,5.1,10개월,13개월,
520,40대,남성,6894,4.7,14개월,7개월,
523,40대,여성,4895,5.9,13개월,17개월,
524,70대,남성,7158,6.6,12개월,20개월,
526,30대,남성,8408,7.5,11개월,2개월,
528,20대,남성,6502,8.2,3개월,3개월,
528,20대,남성,7368,9.3,14개월,4개월,
529,10대,여성,5737,8.0,16개월,10개월,
530,70대,남성,8708,6.6,10개월,7개월,
531,70대,남성,7771,7.8,12개월,10개월,
532,30대,남성,8529,6.8,3개월,17개월,
533,20대,여성,5608,7.2,1개월,9개월,
533,20대,여성,6857,8.0,12개월,10개월,
533,20대,여성,6646,5.3,17개월,5개월,
533,20대,여성,6732,7.0,7개월,8개월,
534,30대,여성,4570,6.8,3개월,6개월,
534,30대,여성,6107,6.7,7개월,5개월,
536,70대,여성,8153,8.0,5개월,6개월,
537,80대 이상,남성,9431,8.4,6개월,2개월,
537,80대 이상,남성,9455,4.7,10개월,10개월,
539,60대,여성,8151,6.8,3개월,6개월,
541,50대,여성,6459,6.0,9개월,3개월,
544,70대,여성,6964,7.0,14개월,3개월,
544,70대,여성,7931,6.9,2개월,3개월,
545,30대,여성,5428,7.0,8개월,4개월,
545,30대,여성,4235,7.4,6개월,2개월,
545,30대,여성,3991,6.3,12개월,14개월,
546,50대,남성,7606,8.5,7개월,2개월,
547,40대,남성,6329,8.2,20개월,22개월,
549,20대,남성,7203,7.2,26개월,5개월,
552,60대,여성,8254,6.8,4개월,3개월,
553,70대,남성,7589,7.3,19개월,4개월,
554,60대,여성,9212,7.0,12개월,3개월,
556,50대,남성,8383,8.7,9개월,5개월,
557,20대,여성,5405,8.9,15개월,15개월,
557,20대,여성,6757,9.6,4개월,3개월,
558,10대,여성,5900,6.0,9개월,5개월,
560,30대,남성,7048,7.2,2개월,6개월,
560,30대,남성,9092,7.0,3개월,9개월,
561,70대,남성,7415,8.5,9개월,1개월,
561,70대,남성,8047,7.2,6개월,26개월,
562,10대,남성,5735,6.9,5개월,11개월,
563,60대,여성,7491,6.1,8개월,2개월,
563,60대,여성,8403,7.1,5개월,2개월,
