ID,환경-연령대,환경-성별,환경-날짜,환경-위치,환경-초미세먼지(PM2.5),환경-미세먼지(PM10),환경-오존(O₃),환경-이산화질소(NO₂),환경-일산화탄소(CO),환경-아황산가스(SO₂),환경-온도,환경-습도
14,40대,남성,2022-05-02,서울시 은평구,17.2㎍/㎥,32.2㎍/㎥,0.0497ppm,0.0252ppm,0.38ppm,0.0033ppm,20.1°C,53%
15,30대,남성,2022-03-16,세종특별자치시,23.3㎍/㎥,40.7㎍/㎥,0.0249ppm,0.0362ppm,0.28ppm,0.0025ppm,8°C,61%
15,30대,남성,2022-09-10,대구시 유성구,10㎍/㎥,22.4㎍/㎥,0.0258ppm,0.0183ppm,0.39ppm,0.0025ppm,20.7°C,68%
17,40대,여성,2019-05-07,인천시 동구,29.6㎍/㎥,52.2㎍/㎥,0.0436ppm,0.0484ppm,0.48ppm,0.0056ppm,19.5°C,45%
17,40대,여성,2020-10-11,광주시 광산구,18.3㎍/㎥,33.5㎍/㎥,0.0209ppm,0.0217ppm,0.58ppm,0.0026ppm,15°C,65%
17,40대,여성,2020-12-20,서울시 초구,27.4㎍/㎥,41.9㎍/㎥,0.019ppm,0.0228ppm,0.51ppm,0.0056ppm,-0.6°C,61%
17,40대,여성,2022-05-13,부산시 동래구,16.6㎍/㎥,32㎍/㎥,0.0509ppm,0.0131ppm,0.26ppm,0.0022ppm,20.1°C,55%
18,70대,남성,2021-12-30,서울시 노원구,21㎍/㎥,39.4㎍/㎥,0.0162ppm,0.0462ppm,0.58ppm,0.0032ppm,1.2°C,60%
22,30대,남성,2020-08-30,부산시 서구,15.8㎍/㎥,23.5㎍/㎥,0.0148ppm,0.0109ppm,0.24ppm,0.0016ppm,25.4°C,87%
23,50대,남성,2019-05-14,대구시 달서구,28.4㎍/㎥,53.9㎍/㎥,0.0357ppm,0.031ppm,0.41ppm,0.0049ppm,18.3°C,48%
24,40대,남성,2019-06-30,부산시 연제구,19.9㎍/㎥,29.7㎍/㎥,0.0377ppm,0.0427ppm,0.26ppm,0.0057ppm,23.8°C,64%
24,40대,남성,2021-08-21,서울시 강서구,14.2㎍/㎥,20.2㎍/㎥,0.0389ppm,0.0109ppm,0.4ppm,0.0017ppm,26.2°C,73%
25,70대,남성,2021-06-30,인천시 강화군,19.7㎍/㎥,33.5㎍/㎥,0.0421ppm,0.0142ppm,0.53ppm,0.0033ppm,21.6°C,72%
26,70대,남성,2018-11-13,대구시 동구,27㎍/㎥,51.6㎍/㎥,0.0122ppm,0.0404ppm,0.57ppm,0.0046ppm,6.1°C,59%
26,70대,남성,2020-11-09,대구시 북구,24.6㎍/㎥,43.3㎍/㎥,0.0147ppm,0.0253ppm,0.57ppm,0.0034ppm,7.1°C,60%
29,70대,남성,2019-04-14,광주시 광산구,21.6㎍/㎥,40.9㎍/㎥,0.0314ppm,0.0315ppm,0.36ppm,0.0025ppm,12.2°C,56%
29,70대,남성,2021-08-22,대구시 대덕구,10.6㎍/㎥,21.6㎍/㎥,0.0328ppm,0.0012ppm,0.38ppm,0.0012ppm,25°C,74%
30,70대,남성,2022-10-09,인천시 동구,13.3㎍/㎥,24.3㎍/㎥,0.0214ppm,0.0262ppm,0.31ppm,0.0025ppm,14.7°C,71%
31,30대,여성,2023-02-14,세종특별자치시,26.3㎍/㎥,41.4㎍/㎥,0.0319ppm,0.0342ppm,0.39ppm,0.0041ppm,1.6°C,56%
32,20대,여성,2020-01-18,대구시 서구,29.9㎍/㎥,41.9㎍/㎥,0.0127ppm,0.0249ppm,0.53ppm,0.0031ppm,1.5°C,56%
32,20대,여성,2020-06-13,서울시 노원구,21.5㎍/㎥,36.3㎍/㎥,0.0348ppm,0.0215ppm,0.36ppm,0.0021ppm,23.8°C,70%
33,50대,여성,2019-03-20,부산시 강서구,45.6㎍/㎥,68.2㎍/㎥,0.0286ppm,0.028ppm,0.61ppm,0.0058ppm,6.7°C,52%
33,50대,여성,2020-11-08,서울시 송파구,23.8㎍/㎥,42.7㎍/㎥,0.0096ppm,0.0276ppm,0.56ppm,0.0024ppm,7.9°C,61%
36,60대,여성,2021-07-31,부산시 금정구,15㎍/㎥,22.9㎍/㎥,0.0321ppm,0.0001ppm,0.38ppm,0.0027ppm,27.1°C,72%
37,70대,여성,2020-11-05,인천시 미추홀구,24.3㎍/㎥,41.4㎍/㎥,0.0139ppm,0.0198ppm,0.48ppm,0.0053ppm,7.1°C,57%
38,20대,여성,2021-02-16,인천시 부평구,28.8㎍/㎥,48.8㎍/㎥,0.021ppm,0.0299ppm,0.68ppm,0.0026ppm,2.5°C,54%
41,60대,여성,2020-06-18,서울시 구로구,20.2㎍/㎥,35.7㎍/㎥,0.0401ppm,0.0197ppm,0.34ppm,0.0029ppm,24.1°C,69%
41,60대,여성,2021-03-23,세종특별자치시,33.5㎍/㎥,65.9㎍/㎥,0.0242ppm,0.0327ppm,0.45ppm,0.0028ppm,7.1°C,65%
42,50대,남성,2019-03-26,서울시 중랑구,43.9㎍/㎥,68㎍/㎥,0.0261ppm,0.0342ppm,0.64ppm,0.0039ppm,7.9°C,51%
42,50대,남성,2019-09-21,인천시 남동구,11.6㎍/㎥,21.1㎍/㎥,0.0261ppm,0.0347ppm,0.54ppm,0.0033ppm,24.2°C,63%
42,50대,남성,2022-05-25,서울시 구로구,17.5㎍/㎥,32.6㎍/㎥,0.0502ppm,0.0334ppm,0.49ppm,0.0026ppm,17.7°C,55%
42,50대,남성,2022-09-07,부산시 남구,11㎍/㎥,21.7㎍/㎥,0.0307ppm,0.0094ppm,0.38ppm,0.0016ppm,22.3°C,69%
43,70대,여성,2019-02-22,서울시 금천구,35.8㎍/㎥,56.9㎍/㎥,0.0187ppm,0.0576ppm,0.78ppm,0.0047ppm,-0.1°C,41%
43,70대,여성,2023-01-05,대구시 군위군,28.8㎍/㎥,44.3㎍/㎥,0.0184ppm,0.0332ppm,0.81ppm,0.006ppm,-0.4°C,66%
46,40대,남성,2020-05-02,인천시 동구,19.5㎍/㎥,37.1㎍/㎥,0.0322ppm,0.024ppm,0.6ppm,0.0016ppm,15.7°C,68%
49,70대,남성,2022-12-10,서울시 강서구,19.4㎍/㎥,37.1㎍/㎥,0.0203ppm,0.0204ppm,0.37ppm,0.0044ppm,-3°C,55%
50,20대,남성,2022-02-26,부산시 강서구,24㎍/㎥,40.8㎍/㎥,0.0256ppm,0.0294ppm,0.43ppm,0.0033ppm,-0.5°C,57%
51,70대,남성,2022-08-25,대구시 달성군,10.9㎍/㎥,20.4㎍/㎥,0.0322ppm,0.0054ppm,0.36ppm,0.0001ppm,25.9°C,83%
52,30대,여성,2021-07-22,서울시 금천구,15.3㎍/㎥,21.6㎍/㎥,0.0376ppm,0.0144ppm,0.49ppm,0.0016ppm,26.4°C,72%
53,40대,남성,2021-03-17,서울시 금천구,33.5㎍/㎥,64.2㎍/㎥,0.0251ppm,0.0283ppm,0.61ppm,0.002ppm,8.3°C,61%
53,40대,남성,2021-08-08,대구시 수성구,12.8㎍/㎥,22.6㎍/㎥,0.0291ppm,0.008ppm,0.33ppm,0.0038ppm,27.8°C,76%
57,30대,여성,2019-01-07,대구시 서구,39.8㎍/㎥,65.4㎍/㎥,0.0128ppm,0.0515ppm,0.91ppm,0.0042ppm,0.8°C,44%
58,50대,여성,2019-05-05,서울시 노원구,29.4㎍/㎥,52.8㎍/㎥,0.0439ppm,0.0157ppm,0.47ppm,0.0047ppm,19.1°C,53%
59,70대,남성,2020-08-16,서울시 영등포구,15.1㎍/㎥,23.3㎍/㎥,0.0159ppm,0.0091ppm,0.25ppm,0.0017ppm,26.9°C,93%
59,70대,남성,2021-11-15,서울시 강서구,26.7㎍/㎥,46.3㎍/㎥,0.0214ppm,0.0452ppm,0.61ppm,0.0027ppm,8.9°C,68%
60,30대,남성,2021-08-03,서울시 강동구,11.9㎍/㎥,20.3㎍/㎥,0.0368ppm,0.0051ppm,0.3ppm,0.0031ppm,24.7°C,75%
60,30대,남성,2022-04-03,서울시 동작구,21.1㎍/㎥,44㎍/㎥,0.0442ppm,0.0429ppm,0.65ppm,0.0039ppm,14.4°C,61%
62,70대,여성,2021-10-23,광주시 광산구,10.8㎍/㎥,24.2㎍/㎥,0.0274ppm,0.0294ppm,0.47ppm,0.0016ppm,15.8°C,66%
63,30대,여성,2021-02-21,부산시 영도구,28.3㎍/㎥,47.9㎍/㎥,0.028ppm,0.016ppm,0.5ppm,0.0044ppm,1.1°C,58%
66,50대,남성,2019-06-20,울산시 남구,19.5㎍/㎥,28.9㎍/㎥,0.0401ppm,0.0333ppm,0.36ppm,0.0026ppm,22.7°C,62%
66,50대,남성,2020-07-31,인천시 중구,13.7㎍/㎥,20.7㎍/㎥,0.0287ppm,0.0168ppm,0.3ppm,0.001ppm,22.9°C,82%
68,60대,남성,2020-08-04,서울시 영등포구,14.3㎍/㎥,24.5㎍/㎥,0.0188ppm,0.01ppm,0.26ppm,0.0013ppm,25.6°C,89%
69,20대,남성,2021-10-07,서울시 초구,14.2㎍/㎥,27.2㎍/㎥,0.0213ppm,0.0206ppm,0.44ppm,0.0023ppm,15.4°C,67%
70,50대,여성,2019-11-30,부산시 서구,19.3㎍/㎥,39.5㎍/㎥,0.0123ppm,0.0353ppm,0.37ppm,0.0023ppm,7.8°C,55%
73,30대,여성,2019-06-20,부산시 영도구,19.6㎍/㎥,30.7㎍/㎥,0.0397ppm,0.01ppm,0.27ppm,0.0038ppm,23.9°C,63%
73,30대,여성,2021-04-30,서울시 강동구,21㎍/㎥,43.1㎍/㎥,0.0382ppm,0.0282ppm,0.58ppm,0.0016ppm,14°C,50%
75,70대,남성,2020-02-20,서울시 마포구,30.4㎍/㎥,41.1㎍/㎥,0.0212ppm,0.033ppm,0.62ppm,0.0029ppm,4.5°C,58%
76,80대 이상,여성,2019-05-25,대구시 달서구,28㎍/㎥,51.9㎍/㎥,0.0447ppm,0.0325ppm,0.48ppm,0.0034ppm,19.8°C,46%
76,80대 이상,여성,2019-07-12,서울시 관악구,16.4㎍/㎥,27㎍/㎥,0.038ppm,0.0024ppm,0.51ppm,0.0037ppm,27°C,71%
77,50대,여성,2021-01-28,대구시 유성구,20.1㎍/㎥,38.9㎍/㎥,0.0176ppm,0.0296ppm,0.64ppm,0.0023ppm,-2.1°C,59%
78,40대,여성,2021-10-07,인천시 남동구,11.4㎍/㎥,27.1㎍/㎥,0.0242ppm,0.0409ppm,0.34ppm,0.0037ppm,16.2°C,71%
83,40대,남성,2019-02-16,부산시 동구,34.7㎍/㎥,56.6㎍/㎥,0.0184ppm,0.0332ppm,0.7ppm,0.0042ppm,1.8°C,47%
84,60대,여성,2019-10-28,울산시 중구,16.2㎍/㎥,32.8㎍/㎥,0.0196ppm,0.0309ppm,0.53ppm,0.0035ppm,14.9°C,62%
84,60대,여성,2022-02-26,부산시 서구,26㎍/㎥,39.7㎍/㎥,0.0266ppm,0.0286ppm,0.42ppm,0.0025ppm,-1.8°C,56%
84,60대,여성,2022-05-13,대구시 수성구,17.3㎍/㎥,33.2㎍/㎥,0.0517ppm,0.0062ppm,0.38ppm,0.0031ppm,18.5°C,53%
85,60대,남성,2019-06-04,서울시 서대문구,20.4㎍/㎥,30.8㎍/㎥,0.0407ppm,0.0179ppm,0.44ppm,0.0027ppm,22.1°C,63%
88,60대,남성,2021-06-20,서울시 강북구,19.4㎍/㎥,31.7㎍/㎥,0.0433ppm,0.0032ppm,0.58ppm,0.0029ppm,22.7°C,70%
89,70대,남성,2021-07-20,서울시 강서구,14.9㎍/㎥,24.3㎍/㎥,0.0379ppm,0.0106ppm,0.37ppm,0.0031ppm,27.8°C,66%
89,70대,남성,2022-11-14,서울시 초구,21.5㎍/㎥,37.7㎍/㎥,0.021ppm,0.0237ppm,0.56ppm,0.0031ppm,10.4°C,65%
90,30대,남성,2021-11-07,인천시 옹진군,27.5㎍/㎥,46.7㎍/㎥,0.0183ppm,0.0294ppm,0.55ppm,0.0049ppm,9.4°C,64%
93,50대,남성,2022-01-10,대구시 서구,28.3㎍/㎥,44㎍/㎥,0.0146ppm,0.0326ppm,0.75ppm,0.0011ppm,-2.6°C,52%
93,50대,남성,2022-04-28,서울시 구로구,20.7㎍/㎥,46.2㎍/㎥,0.0408ppm,0.0132ppm,0.32ppm,0.0029ppm,14.5°C,51%
94,20대,여성,2019-05-31,서울시 광진구,27.7㎍/㎥,52.1㎍/㎥,0.0428ppm,0.016ppm,0.5ppm,0.0051ppm,18.6°C,51%
94,20대,여성,2021-11-02,인천시 미추홀구,26.9㎍/㎥,47㎍/㎥,0.0154ppm,0.0294ppm,0.72ppm,0.003ppm,8.8°C,62%
95,20대,남성,2019-04-03,광주시 동구,21㎍/㎥,42.5㎍/㎥,0.0282ppm,0.0327ppm,0.38ppm,0.0042ppm,12.4°C,54%
95,20대,남성,2019-06-11,서울시 중랑구,20.4㎍/㎥,28.2㎍/㎥,0.04ppm,0.0075ppm,0.49ppm,0.0041ppm,22.6°C,58%
95,20대,남성,2020-01-29,부산시 동구,30.1㎍/㎥,43.7㎍/㎥,0.0173ppm,0.0312ppm,0.79ppm,0.0052ppm,0.2°C,62%
95,20대,남성,2022-08-29,광주시 남구,12.1㎍/㎥,19.5㎍/㎥,0.0274ppm,0.0206ppm,0.5ppm,0.0023ppm,24.7°C,78%
95,20대,남성,2022-11-13,서울시 마포구,23.2㎍/㎥,38.9㎍/㎥,0.012ppm,0.0302ppm,0.49ppm,0.0034ppm,8.9°C,67%
96,30대,남성,2020-06-15,부산시 중구,20.9㎍/㎥,36.3㎍/㎥,0.0467ppm,0.0398ppm,0.37ppm,0.0016ppm,24.6°C,68%
99,40대,여성,2019-04-16,울산시 동구,20.5㎍/㎥,40.2㎍/㎥,0.033ppm,0.0316ppm,0.5ppm,0.0061ppm,12.9°C,52%
99,40대,여성,2022-07-03,서울시 노원구,16.2㎍/㎥,26.1㎍/㎥,0.0412ppm,0.0099ppm,0.24ppm,0.004ppm,27.2°C,76%
102,60대,남성,2022-04-02,대구시 서구,21.8㎍/㎥,44.8㎍/㎥,0.0445ppm,0.0138ppm,0.26ppm,0.003ppm,15.9°C,51%
103,50대,여성,2019-07-19,부산시 동래구,18.9㎍/㎥,25.6㎍/㎥,0.0328ppm,0.0232ppm,0.29ppm,0.0037ppm,26.8°C,65%
103,50대,여성,2020-09-04,인천시 남동구,11.9㎍/㎥,20.5㎍/㎥,0.0333ppm,0.0023ppm,0.33ppm,0.0033ppm,23.5°C,69%
103,50대,여성,2022-12-22,서울시 동작구,20.5㎍/㎥,36.1㎍/㎥,0.0152ppm,0.0268ppm,0.64ppm,0.0024ppm,-1°C,62%
104,70대,여성,2021-05-28,부산시 해운대구,20.6㎍/㎥,60.8㎍/㎥,0.0305ppm,0.0142ppm,0.43ppm,0.0033ppm,18.6°C,67%
107,10대,남성,2019-02-23,인천시 서구,33.4㎍/㎥,60.7㎍/㎥,0.0142ppm,0.0345ppm,0.64ppm,0.0067ppm,2.3°C,47%
107,10대,남성,2019-12-09,부산시 북구,27.7㎍/㎥,41.1㎍/㎥,0.0043ppm,0.0378ppm,0.84ppm,0.004ppm,2.5°C,62%
107,10대,남성,2022-01-17,서울시 용산구,28㎍/㎥,44.7㎍/㎥,0.0139ppm,0.0036ppm,0.67ppm,0.0028ppm,-1.3°C,61%
107,10대,남성,2022-09-06,인천시 서구,9.3㎍/㎥,21.4㎍/㎥,0.0333ppm,0.0014ppm,0.29ppm,0.0017ppm,23.5°C,72%
108,50대,여성,2021-01-13,부산시 남구,21.3㎍/㎥,36.9㎍/㎥,0.013ppm,0.0496ppm,0.79ppm,0.0028ppm,-3°C,59%
108,50대,여성,2021-06-25,인천시 연수구,20㎍/㎥,34.7㎍/㎥,0.0462ppm,0.0179ppm,0.43ppm,0.004ppm,22.9°C,69%
108,50대,여성,2021-12-03,서울시 성북구,23㎍/㎥,38.6㎍/㎥,0.0125ppm,0.0532ppm,0.7ppm,0.0044ppm,0.8°C,63%
113,10대,남성,2022-11-02,대구시 중구,22.7㎍/㎥,41.1㎍/㎥,0.0222ppm,0.0484ppm,0.55ppm,0.0035ppm,8.7°C,67%
114,50대,여성,2022-10-07,부산시 해운대구,13.3㎍/㎥,23.7㎍/㎥,0.0238ppm,0.0272ppm,0.43ppm,0.0039ppm,13.7°C,68%
115,40대,여성,2019-10-12,서울시 초구,16.1㎍/㎥,32.5㎍/㎥,0.0228ppm,0.033ppm,0.57ppm,0.0039ppm,15.2°C,62%
115,40대,여성,2019-11-13,서울시 관악구,19.5㎍/㎥,40.9㎍/㎥,0.015ppm,0.0367ppm,0.52ppm,0.0026ppm,9.2°C,55%
115,40대,여성,2021-11-18,서울시 마포구,25.5㎍/㎥,46.9㎍/㎥,0.015ppm,0.0296ppm,0.72ppm,0.0056ppm,9.8°C,68%
117,30대,여성,2022-03-18,서울시 성북구,20.5㎍/㎥,43.1㎍/㎥,0.0234ppm,0.0304ppm,0.31ppm,0.0014ppm,8.1°C,70%
118,30대,여성,2021-11-14,대구시 수성구,25.9㎍/㎥,46.1㎍/㎥,0.0138ppm,0.0118ppm,0.6ppm,0.0035ppm,6.3°C,67%
119,60대,남성,2021-10-10,서울시 성동구,12.3㎍/㎥,25.9㎍/㎥,0.0256ppm,0.0208ppm,0.59ppm,0.0046ppm,14.6°C,69%
119,60대,남성,2022-09-02,인천시 남동구,11.8㎍/㎥,23.5㎍/㎥,0.0348ppm,0.0128ppm,0.45ppm,0.003ppm,22.2°C,68%
121,20대,남성,2022-04-28,서울시 성동구,21.4㎍/㎥,45.1㎍/㎥,0.0458ppm,0.0023ppm,0.49ppm,0.0044ppm,15°C,51%
122,50대,남성,2020-07-04,부산시 사상구,12.7㎍/㎥,21.5㎍/㎥,0.0353ppm,0.0306ppm,0.35ppm,0.0013ppm,25.1°C,72%
124,10대,여성,2021-01-19,서울시 성북구,20.2㎍/㎥,37.6㎍/㎥,0.0149ppm,0.0269ppm,0.58ppm,0.0035ppm,-1.9°C,57%
125,40대,여성,2019-04-15,서울시 강동구,21.7㎍/㎥,41.4㎍/㎥,0.0232ppm,0.0359ppm,0.43ppm,0.0024ppm,12.7°C,48%
125,40대,여성,2023-01-01,서울시 양천구,30.2㎍/㎥,43.2㎍/㎥,0.0133ppm,0.028ppm,0.75ppm,0.0025ppm,-0.9°C,64%
126,30대,남성,2019-08-21,인천시 강화군,15.5㎍/㎥,25.5㎍/㎥,0.0235ppm,0.0038ppm,0.3ppm,0.0012ppm,28°C,72%
127,30대,남성,2019-02-05,서울시 마포구,36.4㎍/㎥,58.6㎍/㎥,0.0169ppm,0.0423ppm,0.8ppm,0.0052ppm,0.6°C,46%
127,30대,남성,2020-10-27,인천시 남동구,16.7㎍/㎥,32.6㎍/㎥,0.0282ppm,0.037ppm,0.25ppm,0.0035ppm,13.6°C,65%
129,70대,남성,2019-07-28,부산시 서구,19.2㎍/㎥,27.1㎍/㎥,0.0344ppm,0.0138ppm,0.28ppm,0.0048ppm,26.6°C,67%
130,40대,여성,2022-01-01,대구시 달성군,28.9㎍/㎥,44.6㎍/㎥,0.013ppm,0.0372ppm,0.6ppm,0.0038ppm,-3.9°C,58%
130,40대,여성,2022-01-23,대구시 수성구,27.6㎍/㎥,43.7㎍/㎥,0.019ppm,0.0157ppm,0.59ppm,0.0045ppm,-1.4°C,56%
130,40대,여성,2022-11-14,부산시 사하구,22㎍/㎥,39.2㎍/㎥,0.017ppm,0.0381ppm,0.59ppm,0.0022ppm,10.9°C,66%
131,60대,여성,2019-06-22,대구시 중구,19.5㎍/㎥,28.2㎍/㎥,0.0416ppm,0.0033ppm,0.35ppm,0.0033ppm,23.2°C,58%
131,60대,여성,2020-12-05,부산시 강서구,26.6㎍/㎥,41.2㎍/㎥,0.0145ppm,0.0272ppm,0.65ppm,0.0044ppm,0.2°C,62%
131,60대,여성,2021-05-15,부산시 사하구,20.3㎍/㎥,60.1㎍/㎥,0.0366ppm,0.0251ppm,0.47ppm,0.0028ppm,16.6°C,70%
132,10대,여성,2021-01-16,대구시 북구,21.8㎍/㎥,37.6㎍/㎥,0.0127ppm,0.0228ppm,0.47ppm,0.002ppm,-1.2°C,59%
134,60대,여성,2021-10-14,서울시 강북구,14㎍/㎥,26.2㎍/㎥,0.0175ppm,0.0276ppm,0.59ppm,0.0022ppm,16.9°C,72%
136,40대,여성,2019-03-26,부산시 서구,46.2㎍/㎥,68.8㎍/㎥,0.0283ppm,0.0408ppm,0.6ppm,0.0056ppm,6.6°C,49%
137,30대,여성,2022-02-24,부산시 사하구,25㎍/㎥,42.4㎍/㎥,0.0279ppm,0.0277ppm,0.5ppm,0.0018ppm,-0.5°C,53%
138,70대,남성,2021-04-18,서울시 용산구,19.6㎍/㎥,43㎍/㎥,0.039ppm,0.0309ppm,0.42ppm,0.0041ppm,13.3°C,55%
138,70대,남성,2021-05-17,부산시 중구,19.8㎍/㎥,60.7㎍/㎥,0.0369ppm,0.0152ppm,0.35ppm,0.0021ppm,15.9°C,73%
142,20대,여성,2021-05-15,부산시 중구,17.3㎍/㎥,61.9㎍/㎥,0.0386ppm,0.0211ppm,0.44ppm,0.0042ppm,17.6°C,72%
144,30대,남성,2022-02-25,서울시 초구,26.8㎍/㎥,37.9㎍/㎥,0.025ppm,0.024ppm,0.49ppm,0.0031ppm,-0.5°C,54%
145,60대,남성,2019-01-27,인천시 연수구,37㎍/㎥,65.1㎍/㎥,0.0114ppm,0.0475ppm,0.64ppm,0.0056ppm,-1.3°C,45%
145,60대,남성,2019-04-07,인천시 계양구,20.8㎍/㎥,41.7㎍/㎥,0.0231ppm,0.0257ppm,0.18ppm,0.0037ppm,12.2°C,51%
145,60대,남성,2022-07-11,서울시 영등포구,14.8㎍/㎥,26.6㎍/㎥,0.0389ppm,0.0229ppm,0.43ppm,0.0013ppm,26.6°C,79%
147,80대 이상,남성,2020-09-08,대구시 중구,10.9㎍/㎥,18.2㎍/㎥,0.029ppm,0.0085ppm,0.23ppm,0.0011ppm,20.7°C,74%
149,60대,남성,2019-09-25,부산시 동래구,13.2㎍/㎥,22.2㎍/㎥,0.0202ppm,0.0197ppm,0.58ppm,0.0026ppm,24°C,65%
151,70대,남성,2022-03-20,부산시 금정구,18.8㎍/㎥,42.8㎍/㎥,0.0297ppm,0.0189ppm,0.55ppm,0.001ppm,8.3°C,62%
152,30대,여성,2019-02-25,서울시 성동구,35.6㎍/㎥,54.7㎍/㎥,0.0225ppm,0.0516ppm,0.63ppm,0.0031ppm,-0.6°C,51%
152,30대,여성,2021-06-04,인천시 연수구,19.9㎍/㎥,33.8㎍/㎥,0.0437ppm,0.0196ppm,0.64ppm,0.003ppm,24.6°C,78%
152,30대,여성,2022-11-15,부산시 동구,24㎍/㎥,37.8㎍/㎥,0.0168ppm,0.0409ppm,0.39ppm,0.0015ppm,9.8°C,65%
155,70대,여성,2019-03-12,부산시 강서구,44.8㎍/㎥,68.8㎍/㎥,0.0267ppm,0.0297ppm,0.79ppm,0.0038ppm,6.1°C,52%
156,60대,남성,2023-03-06,대구시 서구,21.7㎍/㎥,42.2㎍/㎥,0.0284ppm,0.0136ppm,0.45ppm,0.0029ppm,9.6°C,50%
157,40대,남성,2022-02-04,인천시 남동구,24.8㎍/㎥,41.2㎍/㎥,0.0317ppm,0.0167ppm,0.54ppm,0.0032ppm,-1.5°C,52%
158,20대,남성,2021-02-06,부산시 사하구,29.7㎍/㎥,47.8㎍/㎥,0.0231ppm,0.0237ppm,0.55ppm,0.0021ppm,3.1°C,60%
160,10대,여성,2019-03-24,인천시 옹진군,47㎍/㎥,68.6㎍/㎥,0.0318ppm,0.0313ppm,0.66ppm,0.0031ppm,6.5°C,49%
160,10대,여성,2021-01-12,서울시 금천구,22.9㎍/㎥,37.9㎍/㎥,0.0172ppm,0.0289ppm,0.58ppm,0.0047ppm,-1.9°C,59%
162,70대,남성,2019-11-21,서울시 중랑구,21.8㎍/㎥,40.1㎍/㎥,0.0131ppm,0.0362ppm,0.66ppm,0.0027ppm,10.4°C,57%
162,70대,남성,2020-05-31,서울시 송파구,16.6㎍/㎥,34.7㎍/㎥,0.03ppm,0.0354ppm,0.53ppm,0.003ppm,19°C,64%
163,50대,남성,2019-05-30,대구시 중구,28.7㎍/㎥,52.1㎍/㎥,0.05ppm,0.0349ppm,0.52ppm,0.0051ppm,19.2°C,49%
163,50대,남성,2019-10-04,서울시 초구,15.7㎍/㎥,31.8㎍/㎥,0.0275ppm,0.019ppm,0.52ppm,0.0047ppm,18.8°C,62%
164,30대,여성,2022-12-17,대구시 군위군,17.2㎍/㎥,36㎍/㎥,0.0119ppm,0.0491ppm,0.65ppm,0.003ppm,-1.8°C,55%
165,50대,여성,2019-08-19,부산시 수영구,15.9㎍/㎥,24.9㎍/㎥,0.0318ppm,0.0311ppm,0.39ppm,0.0043ppm,27.1°C,71%
166,40대,여성,2018-12-29,울산시 남구,26.9㎍/㎥,50.7㎍/㎥,0.0155ppm,0.0498ppm,0.67ppm,0.0032ppm,9°C,55%
166,40대,여성,2019-08-05,부산시 영도구,16.3㎍/㎥,24.2㎍/㎥,0.025ppm,0.0186ppm,0.51ppm,0.004ppm,25.5°C,72%
170,60대,여성,2022-06-09,부산시 해운대구,13.1㎍/㎥,23.8㎍/㎥,0.0334ppm,0.0176ppm,0.38ppm,0.0019ppm,21.6°C,70%
